CoarseDependency	DH_Weight	DependentPOS	DistanceWeight	Document	FileName	HeadPOS	Language	Language_
obj	7.7877	N	3.2196	ALL	762231	V	ISWOC_Old_English	ISWOC_Old_English
sub	8.3563	N	0.8648	ALL	762231	V	ISWOC_Old_English	ISWOC_Old_English
obj	6.5049	N	-2.7273	ALL	2353143	V	ISWOC_Old_English	ISWOC_Old_English
sub	8.7544	N	-5.7293	ALL	2353143	V	ISWOC_Old_English	ISWOC_Old_English
obj	7.9657	N	0.3581	ALL	4187081	V	ISWOC_Old_English	ISWOC_Old_English
sub	7.2368	N	-0.1586	ALL	4187081	V	ISWOC_Old_English	ISWOC_Old_English
obj	2.9744	N	0.5549	chrona	4994864	V	ISWOC_Old_English	ISWOC_Old_English
obj	-1.4013	N	1.4293	or	4994864	V	ISWOC_Old_English	ISWOC_Old_English
obj	-1.7663	N	1.8507	aels	4994864	V	ISWOC_Old_English	ISWOC_Old_English
obj	3.3781	N	0.9714	apt	4994864	V	ISWOC_Old_English	ISWOC_Old_English
obj	-5.7286	N	-0.7536	wscp	4994864	V	ISWOC_Old_English	ISWOC_Old_English
sub	6.1156	N	0.2828	chrona	4994864	V	ISWOC_Old_English	ISWOC_Old_English
sub	2.5933	N	-0.3811	or	4994864	V	ISWOC_Old_English	ISWOC_Old_English
sub	-4.6398	N	0.3336	aels	4994864	V	ISWOC_Old_English	ISWOC_Old_English
sub	5.4258	N	-0.4384	apt	4994864	V	ISWOC_Old_English	ISWOC_Old_English
sub	-6.8797	N	0.5585	wscp	4994864	V	ISWOC_Old_English	ISWOC_Old_English
obj	-3.0834	N	-0.6843	chrona	821666	V	ISWOC_Old_English	ISWOC_Old_English
obj	-0.834	N	0.5838	or	821666	V	ISWOC_Old_English	ISWOC_Old_English
obj	1.2709	N	1.5188	aels	821666	V	ISWOC_Old_English	ISWOC_Old_English
obj	4.3646	N	2.8122	apt	821666	V	ISWOC_Old_English	ISWOC_Old_English
obj	5.5131	N	-0.3586	wscp	821666	V	ISWOC_Old_English	ISWOC_Old_English
sub	-5.0002	N	-0.2919	chrona	821666	V	ISWOC_Old_English	ISWOC_Old_English
sub	2.3726	N	-0.254	or	821666	V	ISWOC_Old_English	ISWOC_Old_English
sub	-4.2789	N	0.2662	aels	821666	V	ISWOC_Old_English	ISWOC_Old_English
sub	3.8397	N	-0.2671	apt	821666	V	ISWOC_Old_English	ISWOC_Old_English
sub	-5.2696	N	-0.7465	wscp	821666	V	ISWOC_Old_English	ISWOC_Old_English
obj	-7.1864	N	-3.9466	ALL	7229344	V	ISWOC_Old_English	ISWOC_Old_English
sub	-8.3291	N	-0.5303	ALL	7229344	V	ISWOC_Old_English	ISWOC_Old_English
obj	-0.3275	N	1.6745	aels	2237296	V	ISWOC_Old_English	ISWOC_Old_English
obj	0.8952	N	-0.3701	chrona	2237296	V	ISWOC_Old_English	ISWOC_Old_English
obj	-1.0312	N	1.1526	or	2237296	V	ISWOC_Old_English	ISWOC_Old_English
obj	4.5237	N	2.4705	apt	2237296	V	ISWOC_Old_English	ISWOC_Old_English
obj	-5.4976	N	0.0483	wscp	2237296	V	ISWOC_Old_English	ISWOC_Old_English
sub	-4.2413	N	0.8507	aels	2237296	V	ISWOC_Old_English	ISWOC_Old_English
sub	-6.356	N	0.6109	chrona	2237296	V	ISWOC_Old_English	ISWOC_Old_English
sub	2.6826	N	-1.3	or	2237296	V	ISWOC_Old_English	ISWOC_Old_English
sub	5.1048	N	0.6732	apt	2237296	V	ISWOC_Old_English	ISWOC_Old_English
sub	-6.7477	N	-0.9524	wscp	2237296	V	ISWOC_Old_English	ISWOC_Old_English
obj	2.4861	N	0.3258	chrona	6923817	V	ISWOC_Old_English	ISWOC_Old_English
obj	0.8549	N	2.3179	or	6923817	V	ISWOC_Old_English	ISWOC_Old_English
obj	3.036	N	0.7994	aels	6923817	V	ISWOC_Old_English	ISWOC_Old_English
obj	-2.7337	N	2.6349	apt	6923817	V	ISWOC_Old_English	ISWOC_Old_English
obj	4.7508	N	-1.7687	wscp	6923817	V	ISWOC_Old_English	ISWOC_Old_English
sub	5.6723	N	-0.9523	chrona	6923817	V	ISWOC_Old_English	ISWOC_Old_English
sub	-1.3971	N	-1.5894	or	6923817	V	ISWOC_Old_English	ISWOC_Old_English
sub	3.5053	N	-1.3796	aels	6923817	V	ISWOC_Old_English	ISWOC_Old_English
sub	-4.0237	N	1.9288	apt	6923817	V	ISWOC_Old_English	ISWOC_Old_English
sub	6.2563	N	-1.5879	wscp	6923817	V	ISWOC_Old_English	ISWOC_Old_English
obj	-3.1788	N	-1.3601	chrona	3463836	V	ISWOC_Old_English	ISWOC_Old_English
obj	-0.2263	N	1.2878	or	3463836	V	ISWOC_Old_English	ISWOC_Old_English
obj	1.3828	N	1.2162	aels	3463836	V	ISWOC_Old_English	ISWOC_Old_English
obj	-4.2642	N	0.5195	apt	3463836	V	ISWOC_Old_English	ISWOC_Old_English
obj	-2.7141	N	0.7061	wscp	3463836	V	ISWOC_Old_English	ISWOC_Old_English
sub	-5.3374	N	-1.0818	chrona	3463836	V	ISWOC_Old_English	ISWOC_Old_English
sub	2.3387	N	-0.7892	or	3463836	V	ISWOC_Old_English	ISWOC_Old_English
sub	-3.7712	N	0.8486	aels	3463836	V	ISWOC_Old_English	ISWOC_Old_English
sub	-5.37	N	1.2286	apt	3463836	V	ISWOC_Old_English	ISWOC_Old_English
sub	6.1422	N	-1.492	wscp	3463836	V	ISWOC_Old_English	ISWOC_Old_English
obj	-6.5658	N	-1.8132	ALL	2898075	V	ISWOC_Old_English	ISWOC_Old_English
sub	-8.3043	N	-5.9363	ALL	2898075	V	ISWOC_Old_English	ISWOC_Old_English
obj	-2.9634	N	0.4309	chrona	503931	V	ISWOC_Old_English	ISWOC_Old_English
obj	-1.4137	N	0.8506	or	503931	V	ISWOC_Old_English	ISWOC_Old_English
obj	-2.8318	N	0.0938	aels	503931	V	ISWOC_Old_English	ISWOC_Old_English
obj	4.8017	N	1.8885	apt	503931	V	ISWOC_Old_English	ISWOC_Old_English
obj	4.3816	N	0.2242	wscp	503931	V	ISWOC_Old_English	ISWOC_Old_English
sub	-6.449	N	1.1839	chrona	503931	V	ISWOC_Old_English	ISWOC_Old_English
sub	-2.2211	N	-0.4459	or	503931	V	ISWOC_Old_English	ISWOC_Old_English
sub	4.7035	N	0.0386	aels	503931	V	ISWOC_Old_English	ISWOC_Old_English
sub	4.9283	N	0.2127	apt	503931	V	ISWOC_Old_English	ISWOC_Old_English
sub	-6.5775	N	-2.9408	wscp	503931	V	ISWOC_Old_English	ISWOC_Old_English
obj	-5.4863	N	0.9006	ALL	9005881	V	ISWOC_Old_English	ISWOC_Old_English
sub	-7.8312	N	-0.1365	ALL	9005881	V	ISWOC_Old_English	ISWOC_Old_English
obj	2.6481	N	-0.4888	chrona	550494	V	ISWOC_Old_English	ISWOC_Old_English
obj	0.2949	N	1.809	or	550494	V	ISWOC_Old_English	ISWOC_Old_English
obj	-0.9206	N	-0.0856	aels	550494	V	ISWOC_Old_English	ISWOC_Old_English
obj	2.0213	N	1.9509	apt	550494	V	ISWOC_Old_English	ISWOC_Old_English
obj	-4.6269	N	-0.296	wscp	550494	V	ISWOC_Old_English	ISWOC_Old_English
sub	5.8107	N	0.5936	chrona	550494	V	ISWOC_Old_English	ISWOC_Old_English
sub	0.4057	N	-0.5746	or	550494	V	ISWOC_Old_English	ISWOC_Old_English
sub	4.533	N	0.3576	aels	550494	V	ISWOC_Old_English	ISWOC_Old_English
sub	4.1672	N	1.5396	apt	550494	V	ISWOC_Old_English	ISWOC_Old_English
sub	6.3091	N	-1.5845	wscp	550494	V	ISWOC_Old_English	ISWOC_Old_English
obj	7.3026	N	4.1204	ALL	466458	V	ISWOC_Old_English	ISWOC_Old_English
sub	9.3011	N	-0.8165	ALL	466458	V	ISWOC_Old_English	ISWOC_Old_English
obj	-6.8326	N	0.0343	ALL	7731062	V	ISWOC_Old_English	ISWOC_Old_English
sub	8.6699	N	-0.354	ALL	7731062	V	ISWOC_Old_English	ISWOC_Old_English
obj	8.0187	N	2.3415	ALL	7188859	V	ISWOC_Old_English	ISWOC_Old_English
sub	8.7811	N	-0.7988	ALL	7188859	V	ISWOC_Old_English	ISWOC_Old_English
obj	0.8517	N	0.4307	aels	4995899	V	ISWOC_Old_English	ISWOC_Old_English
obj	-2.2357	N	-1.0792	chrona	4995899	V	ISWOC_Old_English	ISWOC_Old_English
obj	-0.3196	N	1.9532	or	4995899	V	ISWOC_Old_English	ISWOC_Old_English
obj	3.6969	N	0.6426	apt	4995899	V	ISWOC_Old_English	ISWOC_Old_English
obj	-3.4244	N	-0.3831	wscp	4995899	V	ISWOC_Old_English	ISWOC_Old_English
sub	4.1387	N	0.1034	aels	4995899	V	ISWOC_Old_English	ISWOC_Old_English
sub	5.9709	N	0.5279	chrona	4995899	V	ISWOC_Old_English	ISWOC_Old_English
sub	-0.7967	N	-0.8031	or	4995899	V	ISWOC_Old_English	ISWOC_Old_English
sub	4.8706	N	-1.3199	apt	4995899	V	ISWOC_Old_English	ISWOC_Old_English
sub	-6.7005	N	-0.9133	wscp	4995899	V	ISWOC_Old_English	ISWOC_Old_English
obj	-0.6638	N	-0.1085	chrona	5128140	V	ISWOC_Old_English	ISWOC_Old_English
obj	0.2188	N	1.8746	or	5128140	V	ISWOC_Old_English	ISWOC_Old_English
obj	1.7253	N	2.2613	aels	5128140	V	ISWOC_Old_English	ISWOC_Old_English
obj	4.7545	N	2.3728	apt	5128140	V	ISWOC_Old_English	ISWOC_Old_English
obj	-4.3681	N	0.8343	wscp	5128140	V	ISWOC_Old_English	ISWOC_Old_English
sub	6.0201	N	-0.7657	chrona	5128140	V	ISWOC_Old_English	ISWOC_Old_English
sub	-2.9594	N	0.0655	or	5128140	V	ISWOC_Old_English	ISWOC_Old_English
sub	-4.651	N	-0.0594	aels	5128140	V	ISWOC_Old_English	ISWOC_Old_English
sub	5.1985	N	0.646	apt	5128140	V	ISWOC_Old_English	ISWOC_Old_English
sub	6.7783	N	-0.9732	wscp	5128140	V	ISWOC_Old_English	ISWOC_Old_English
obj	-2.5029	N	-0.0754	chrona	8072764	V	ISWOC_Old_English	ISWOC_Old_English
obj	-1.4525	N	1.2684	or	8072764	V	ISWOC_Old_English	ISWOC_Old_English
obj	-1.188	N	0.4004	aels	8072764	V	ISWOC_Old_English	ISWOC_Old_English
obj	2.9337	N	2.5334	apt	8072764	V	ISWOC_Old_English	ISWOC_Old_English
obj	-3.665	N	-2.0003	wscp	8072764	V	ISWOC_Old_English	ISWOC_Old_English
sub	-5.986	N	2.7641	chrona	8072764	V	ISWOC_Old_English	ISWOC_Old_English
sub	-1.8278	N	-0.2126	or	8072764	V	ISWOC_Old_English	ISWOC_Old_English
sub	4.5384	N	0.1546	aels	8072764	V	ISWOC_Old_English	ISWOC_Old_English
sub	4.2318	N	0.4923	apt	8072764	V	ISWOC_Old_English	ISWOC_Old_English
sub	-6.7412	N	-2.0193	wscp	8072764	V	ISWOC_Old_English	ISWOC_Old_English
obj	-7.5937	N	3.336	ALL	4821431	V	ISWOC_Old_English	ISWOC_Old_English
sub	-9.1698	N	-0.8209	ALL	4821431	V	ISWOC_Old_English	ISWOC_Old_English
obj	-6.9784	N	-0.4088	ALL	7597530	V	ISWOC_Old_English	ISWOC_Old_English
sub	8.5992	N	-2.1594	ALL	7597530	V	ISWOC_Old_English	ISWOC_Old_English
obj	2.0647	N	-0.1894	aels	6860230	V	ISWOC_Old_English	ISWOC_Old_English
obj	3.3019	N	-0.9596	chrona	6860230	V	ISWOC_Old_English	ISWOC_Old_English
obj	-0.345	N	0.7207	or	6860230	V	ISWOC_Old_English	ISWOC_Old_English
obj	0.8348	N	1.3469	apt	6860230	V	ISWOC_Old_English	ISWOC_Old_English
obj	-4.6051	N	-1.3696	wscp	6860230	V	ISWOC_Old_English	ISWOC_Old_English
sub	-4.5439	N	0.3025	aels	6860230	V	ISWOC_Old_English	ISWOC_Old_English
sub	5.3515	N	-0.9896	chrona	6860230	V	ISWOC_Old_English	ISWOC_Old_English
sub	-1.8016	N	-0.3909	or	6860230	V	ISWOC_Old_English	ISWOC_Old_English
sub	-5.4886	N	0.7115	apt	6860230	V	ISWOC_Old_English	ISWOC_Old_English
sub	5.7488	N	1.5656	wscp	6860230	V	ISWOC_Old_English	ISWOC_Old_English
obj	-1.2697	N	-0.4896	chrona	695493	V	ISWOC_Old_English	ISWOC_Old_English
obj	0.4037	N	1.4107	or	695493	V	ISWOC_Old_English	ISWOC_Old_English
obj	-0.0118	N	0.3591	aels	695493	V	ISWOC_Old_English	ISWOC_Old_English
obj	0.1881	N	2.1687	apt	695493	V	ISWOC_Old_English	ISWOC_Old_English
obj	5.7583	N	-1.0677	wscp	695493	V	ISWOC_Old_English	ISWOC_Old_English
sub	-5.8523	N	2.6647	chrona	695493	V	ISWOC_Old_English	ISWOC_Old_English
sub	-2.9211	N	0.3348	or	695493	V	ISWOC_Old_English	ISWOC_Old_English
sub	3.939	N	0.0481	aels	695493	V	ISWOC_Old_English	ISWOC_Old_English
sub	5.5591	N	1.0382	apt	695493	V	ISWOC_Old_English	ISWOC_Old_English
sub	-5.46	N	0.5907	wscp	695493	V	ISWOC_Old_English	ISWOC_Old_English
obj	-1.8413	N	1.2157	aels	4353803	V	ISWOC_Old_English	ISWOC_Old_English
obj	-1.608	N	0.0047	chrona	4353803	V	ISWOC_Old_English	ISWOC_Old_English
obj	1.1945	N	1.1993	or	4353803	V	ISWOC_Old_English	ISWOC_Old_English
obj	3.6981	N	2.1224	apt	4353803	V	ISWOC_Old_English	ISWOC_Old_English
obj	-3.0517	N	0.8129	wscp	4353803	V	ISWOC_Old_English	ISWOC_Old_English
sub	3.3003	N	0.6495	aels	4353803	V	ISWOC_Old_English	ISWOC_Old_English
sub	-6.097	N	0.9391	chrona	4353803	V	ISWOC_Old_English	ISWOC_Old_English
sub	2.8493	N	-0.8925	or	4353803	V	ISWOC_Old_English	ISWOC_Old_English
sub	-4.8438	N	0.8076	apt	4353803	V	ISWOC_Old_English	ISWOC_Old_English
sub	6.8759	N	-1.3624	wscp	4353803	V	ISWOC_Old_English	ISWOC_Old_English
obj	7.6896	N	-2.1159	ALL	4136590	V	ISWOC_Old_English	ISWOC_Old_English
sub	-8.2762	N	1.0369	ALL	4136590	V	ISWOC_Old_English	ISWOC_Old_English
obj	-3.4342	N	-1.4108	chrona	1606954	V	ISWOC_Old_English	ISWOC_Old_English
obj	-0.6946	N	0.6403	or	1606954	V	ISWOC_Old_English	ISWOC_Old_English
obj	2.4171	N	-0.0149	aels	1606954	V	ISWOC_Old_English	ISWOC_Old_English
obj	-5.0909	N	1.7705	apt	1606954	V	ISWOC_Old_English	ISWOC_Old_English
obj	5.2018	N	-0.7276	wscp	1606954	V	ISWOC_Old_English	ISWOC_Old_English
sub	-5.9984	N	0.1027	chrona	1606954	V	ISWOC_Old_English	ISWOC_Old_English
sub	2.2615	N	0.4173	or	1606954	V	ISWOC_Old_English	ISWOC_Old_English
sub	-4.3249	N	0.337	aels	1606954	V	ISWOC_Old_English	ISWOC_Old_English
sub	-4.7393	N	0.3089	apt	1606954	V	ISWOC_Old_English	ISWOC_Old_English
sub	6.3613	N	-1.5001	wscp	1606954	V	ISWOC_Old_English	ISWOC_Old_English
obj	-7.4873	N	0.1486	ALL	4442719	V	ISWOC_Old_English	ISWOC_Old_English
sub	-8.1928	N	-2.4857	ALL	4442719	V	ISWOC_Old_English	ISWOC_Old_English
obj	-2.374	N	-0.423	chrona	1022672	V	ISWOC_Old_English	ISWOC_Old_English
obj	-1.2069	N	1.0343	or	1022672	V	ISWOC_Old_English	ISWOC_Old_English
obj	0.54	N	0.3868	aels	1022672	V	ISWOC_Old_English	ISWOC_Old_English
obj	-3.3971	N	1.7474	apt	1022672	V	ISWOC_Old_English	ISWOC_Old_English
obj	-5.1749	N	-0.1262	wscp	1022672	V	ISWOC_Old_English	ISWOC_Old_English
sub	-6.0623	N	1.0196	chrona	1022672	V	ISWOC_Old_English	ISWOC_Old_English
sub	-3.1806	N	-0.8514	or	1022672	V	ISWOC_Old_English	ISWOC_Old_English
sub	-4.7614	N	-0.7454	aels	1022672	V	ISWOC_Old_English	ISWOC_Old_English
sub	-5.1976	N	0.5102	apt	1022672	V	ISWOC_Old_English	ISWOC_Old_English
sub	-6.8276	N	-0.5554	wscp	1022672	V	ISWOC_Old_English	ISWOC_Old_English
